"Character","Description","Encoded Byte"
" &#4026;","TIBETAN SUBJOINED LETTER FIXED-FORM WA (U+0FBA)"," e0beba"
" &#4027;","TIBETAN SUBJOINED LETTER FIXED-FORM YA (U+0FBB)"," e0bebb"
" &#4028;","TIBETAN SUBJOINED LETTER FIXED-FORM RA (U+0FBC)"," e0bebc"
" &#4030;","TIBETAN KU RU KHA (U+0FBE)"," e0bebe"
" &#4031;","TIBETAN KU RU KHA BZHI MIG CAN (U+0FBF)"," e0bebf"
" &#4032;","TIBETAN CANTILLATION SIGN HEAVY BEAT (U+0FC0)"," e0bf80"
" &#4033;","TIBETAN CANTILLATION SIGN LIGHT BEAT (U+0FC1)"," e0bf81"
" &#4034;","TIBETAN CANTILLATION SIGN CANG TE-U (U+0FC2)"," e0bf82"
" &#4035;","TIBETAN CANTILLATION SIGN SBUB -CHAL (U+0FC3)"," e0bf83"
" &#4036;","TIBETAN SYMBOL DRIL BU (U+0FC4)"," e0bf84"
" &#4037;","TIBETAN SYMBOL RDO RJE (U+0FC5)"," e0bf85"
" &#4038;","TIBETAN SYMBOL PADMA GDAN (U+0FC6)"," e0bf86"
" &#4039;","TIBETAN SYMBOL RDO RJE RGYA GRAM (U+0FC7)"," e0bf87"
" &#4040;","TIBETAN SYMBOL PHUR PA (U+0FC8)"," e0bf88"
" &#4041;","TIBETAN SYMBOL NOR BU (U+0FC9)"," e0bf89"
" &#4042;","TIBETAN SYMBOL NOR BU NYIS -KHYIL (U+0FCA)"," e0bf8a"
" &#4043;","TIBETAN SYMBOL NOR BU GSUM -KHYIL (U+0FCB)"," e0bf8b"
" &#4044;","TIBETAN SYMBOL NOR BU BZHI -KHYIL (U+0FCC)"," e0bf8c"
" &#4046;","TIBETAN SIGN RDEL NAG RDEL DKAR (U+0FCE)"," e0bf8e"
" &#4047;","TIBETAN SIGN RDEL NAG GSUM (U+0FCF)"," e0bf8f"
" &#4048;","TIBETAN MARK BSKA- SHOG GI MGO RGYAN (U+0FD0)"," e0bf90"
" &#4049;","TIBETAN MARK MNYAM YIG GI MGO RGYAN (U+0FD1)"," e0bf91"
" &#4050;","TIBETAN MARK NYIS TSHEG (U+0FD2)"," e0bf92"
" &#4051;","TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA (U+0FD3)"," e0bf93"
" &#4052;","TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA (U+0FD4)"," e0bf94"
" &#4053;","RIGHT-FACING SVASTI SIGN (U+0FD5)"," e0bf95"
" &#4054;","LEFT-FACING SVASTI SIGN (U+0FD6)"," e0bf96"
" &#4055;","RIGHT-FACING SVASTI SIGN WITH DOTS (U+0FD7)"," e0bf97"
" &#4056;","LEFT-FACING SVASTI SIGN WITH DOTS (U+0FD8)"," e0bf98"
" &#4057;","TIBETAN MARK LEADING MCHAN RTAGS (U+0FD9)"," e0bf99"
" &#4058;","TIBETAN MARK TRAILING MCHAN RTAGS (U+0FDA)"," e0bf9a"
" &#4096;","MYANMAR LETTER KA (U+1000)"," e18080"
" &#4097;","MYANMAR LETTER KHA (U+1001)"," e18081"
" &#4098;","MYANMAR LETTER GA (U+1002)"," e18082"
" &#4099;","MYANMAR LETTER GHA (U+1003)"," e18083"
" &#4100;","MYANMAR LETTER NGA (U+1004)"," e18084"
" &#4101;","MYANMAR LETTER CA (U+1005)"," e18085"
" &#4102;","MYANMAR LETTER CHA (U+1006)"," e18086"
" &#4103;","MYANMAR LETTER JA (U+1007)"," e18087"
" &#4104;","MYANMAR LETTER JHA (U+1008)"," e18088"
" &#4105;","MYANMAR LETTER NYA (U+1009)"," e18089"
" &#4106;","MYANMAR LETTER NNYA (U+100A)"," e1808a"
" &#4107;","MYANMAR LETTER TTA (U+100B)"," e1808b"
" &#4108;","MYANMAR LETTER TTHA (U+100C)"," e1808c"
" &#4109;","MYANMAR LETTER DDA (U+100D)"," e1808d"
" &#4110;","MYANMAR LETTER DDHA (U+100E)"," e1808e"
" &#4111;","MYANMAR LETTER NNA (U+100F)"," e1808f"
" &#4112;","MYANMAR LETTER TA (U+1010)"," e18090"
" &#4113;","MYANMAR LETTER THA (U+1011)"," e18091"
" &#4114;","MYANMAR LETTER DA (U+1012)"," e18092"
" &#4115;","MYANMAR LETTER DHA (U+1013)"," e18093"
" &#4116;","MYANMAR LETTER NA (U+1014)"," e18094"
" &#4117;","MYANMAR LETTER PA (U+1015)"," e18095"
" &#4118;","MYANMAR LETTER PHA (U+1016)"," e18096"
" &#4119;","MYANMAR LETTER BA (U+1017)"," e18097"
" &#4120;","MYANMAR LETTER BHA (U+1018)"," e18098"
" &#4121;","MYANMAR LETTER MA (U+1019)"," e18099"
" &#4122;","MYANMAR LETTER YA (U+101A)"," e1809a"
" &#4123;","MYANMAR LETTER RA (U+101B)"," e1809b"
" &#4124;","MYANMAR LETTER LA (U+101C)"," e1809c"
" &#4125;","MYANMAR LETTER WA (U+101D)"," e1809d"
" &#4126;","MYANMAR LETTER SA (U+101E)"," e1809e"
" &#4127;","MYANMAR LETTER HA (U+101F)"," e1809f"
" &#4128;","MYANMAR LETTER LLA (U+1020)"," e180a0"
" &#4129;","MYANMAR LETTER A (U+1021)"," e180a1"
" &#4130;","MYANMAR LETTER SHAN A (U+1022)"," e180a2"
" &#4131;","MYANMAR LETTER I (U+1023)"," e180a3"
" &#4132;","MYANMAR LETTER II (U+1024)"," e180a4"
" &#4133;","MYANMAR LETTER U (U+1025)"," e180a5"
" &#4134;","MYANMAR LETTER UU (U+1026)"," e180a6"
" &#4135;","MYANMAR LETTER E (U+1027)"," e180a7"
" &#4136;","MYANMAR LETTER MON E (U+1028)"," e180a8"
" &#4137;","MYANMAR LETTER O (U+1029)"," e180a9"
" &#4138;","MYANMAR LETTER AU (U+102A)"," e180aa"
" &#4139;","MYANMAR VOWEL SIGN TALL AA (U+102B)"," e180ab"
" &#4140;","MYANMAR VOWEL SIGN AA (U+102C)"," e180ac"
" &#4141;","MYANMAR VOWEL SIGN I (U+102D)"," e180ad"
" &#4142;","MYANMAR VOWEL SIGN II (U+102E)"," e180ae"
" &#4143;","MYANMAR VOWEL SIGN U (U+102F)"," e180af"
" &#4144;","MYANMAR VOWEL SIGN UU (U+1030)"," e180b0"
" &#4145;","MYANMAR VOWEL SIGN E (U+1031)"," e180b1"
" &#4146;","MYANMAR VOWEL SIGN AI (U+1032)"," e180b2"
" &#4147;","MYANMAR VOWEL SIGN MON II (U+1033)"," e180b3"
" &#4148;","MYANMAR VOWEL SIGN MON O (U+1034)"," e180b4"
" &#4149;","MYANMAR VOWEL SIGN E ABOVE (U+1035)"," e180b5"
" &#4150;","MYANMAR SIGN ANUSVARA (U+1036)"," e180b6"
" &#4151;","MYANMAR SIGN DOT BELOW (U+1037)"," e180b7"
" &#4152;","MYANMAR SIGN VISARGA (U+1038)"," e180b8"
" &#4153;","MYANMAR SIGN VIRAMA (U+1039)"," e180b9"
" &#4154;","MYANMAR SIGN ASAT (U+103A)"," e180ba"
" &#4155;","MYANMAR CONSONANT SIGN MEDIAL YA (U+103B)"," e180bb"
" &#4156;","MYANMAR CONSONANT SIGN MEDIAL RA (U+103C)"," e180bc"
" &#4157;","MYANMAR CONSONANT SIGN MEDIAL WA (U+103D)"," e180bd"
" &#4158;","MYANMAR CONSONANT SIGN MEDIAL HA (U+103E)"," e180be"
" &#4159;","MYANMAR LETTER GREAT SA (U+103F)"," e180bf"
" &#4160;","MYANMAR DIGIT ZERO (U+1040)"," e18180"
" &#4161;","MYANMAR DIGIT ONE (U+1041)"," e18181"
" &#4162;","MYANMAR DIGIT TWO (U+1042)"," e18182"
" &#4163;","MYANMAR DIGIT THREE (U+1043)"," e18183"
" &#4164;","MYANMAR DIGIT FOUR (U+1044)"," e18184"
" &#4165;","MYANMAR DIGIT FIVE (U+1045)"," e18185"
" &#4166;","MYANMAR DIGIT SIX (U+1046)"," e18186"
" &#4167;","MYANMAR DIGIT SEVEN (U+1047)"," e18187"
" &#4168;","MYANMAR DIGIT EIGHT (U+1048)"," e18188"
" &#4169;","MYANMAR DIGIT NINE (U+1049)"," e18189"
" &#4170;","MYANMAR SIGN LITTLE SECTION (U+104A)"," e1818a"
" &#4171;","MYANMAR SIGN SECTION (U+104B)"," e1818b"
" &#4172;","MYANMAR SYMBOL LOCATIVE (U+104C)"," e1818c"
" &#4173;","MYANMAR SYMBOL COMPLETED (U+104D)"," e1818d"
" &#4174;","MYANMAR SYMBOL AFOREMENTIONED (U+104E)"," e1818e"
" &#4175;","MYANMAR SYMBOL GENITIVE (U+104F)"," e1818f"
" &#4176;","MYANMAR LETTER SHA (U+1050)"," e18190"
" &#4177;","MYANMAR LETTER SSA (U+1051)"," e18191"
" &#4178;","MYANMAR LETTER VOCALIC R (U+1052)"," e18192"
" &#4179;","MYANMAR LETTER VOCALIC RR (U+1053)"," e18193"
" &#4180;","MYANMAR LETTER VOCALIC L (U+1054)"," e18194"
" &#4181;","MYANMAR LETTER VOCALIC LL (U+1055)"," e18195"
" &#4182;","MYANMAR VOWEL SIGN VOCALIC R (U+1056)"," e18196"
" &#4183;","MYANMAR VOWEL SIGN VOCALIC RR (U+1057)"," e18197"
" &#4184;","MYANMAR VOWEL SIGN VOCALIC L (U+1058)"," e18198"
" &#4185;","MYANMAR VOWEL SIGN VOCALIC LL (U+1059)"," e18199"
" &#4186;","MYANMAR LETTER MON NGA (U+105A)"," e1819a"
" &#4187;","MYANMAR LETTER MON JHA (U+105B)"," e1819b"
" &#4188;","MYANMAR LETTER MON BBA (U+105C)"," e1819c"
" &#4189;","MYANMAR LETTER MON BBE (U+105D)"," e1819d"
" &#4190;","MYANMAR CONSONANT SIGN MON MEDIAL NA (U+105E)"," e1819e"
" &#4191;","MYANMAR CONSONANT SIGN MON MEDIAL MA (U+105F)"," e1819f"
" &#4192;","MYANMAR CONSONANT SIGN MON MEDIAL LA (U+1060)"," e181a0"
" &#4193;","MYANMAR LETTER SGAW KAREN SHA (U+1061)"," e181a1"
" &#4194;","MYANMAR VOWEL SIGN SGAW KAREN EU (U+1062)"," e181a2"
" &#4195;","MYANMAR TONE MARK SGAW KAREN HATHI (U+1063)"," e181a3"
" &#4196;","MYANMAR TONE MARK SGAW KAREN KE PHO (U+1064)"," e181a4"
" &#4197;","MYANMAR LETTER WESTERN PWO KAREN THA (U+1065)"," e181a5"
" &#4198;","MYANMAR LETTER WESTERN PWO KAREN PWA (U+1066)"," e181a6"
" &#4199;","MYANMAR VOWEL SIGN WESTERN PWO KAREN EU (U+1067)"," e181a7"
" &#4200;","MYANMAR VOWEL SIGN WESTERN PWO KAREN UE (U+1068)"," e181a8"
" &#4201;","MYANMAR SIGN WESTERN PWO KAREN TONE-1 (U+1069)"," e181a9"
" &#4202;","MYANMAR SIGN WESTERN PWO KAREN TONE-2 (U+106A)"," e181aa"
" &#4203;","MYANMAR SIGN WESTERN PWO KAREN TONE-3 (U+106B)"," e181ab"
" &#4204;","MYANMAR SIGN WESTERN PWO KAREN TONE-4 (U+106C)"," e181ac"
" &#4205;","MYANMAR SIGN WESTERN PWO KAREN TONE-5 (U+106D)"," e181ad"
" &#4206;","MYANMAR LETTER EASTERN PWO KAREN NNA (U+106E)"," e181ae"
" &#4207;","MYANMAR LETTER EASTERN PWO KAREN YWA (U+106F)"," e181af"
" &#4208;","MYANMAR LETTER EASTERN PWO KAREN GHWA (U+1070)"," e181b0"
" &#4209;","MYANMAR VOWEL SIGN GEBA KAREN I (U+1071)"," e181b1"
" &#4210;","MYANMAR VOWEL SIGN KAYAH OE (U+1072)"," e181b2"
" &#4211;","MYANMAR VOWEL SIGN KAYAH U (U+1073)"," e181b3"
" &#4212;","MYANMAR VOWEL SIGN KAYAH EE (U+1074)"," e181b4"
" &#4213;","MYANMAR LETTER SHAN KA (U+1075)"," e181b5"
" &#4214;","MYANMAR LETTER SHAN KHA (U+1076)"," e181b6"
" &#4215;","MYANMAR LETTER SHAN GA (U+1077)"," e181b7"
" &#4216;","MYANMAR LETTER SHAN CA (U+1078)"," e181b8"
" &#4217;","MYANMAR LETTER SHAN ZA (U+1079)"," e181b9"
" &#4218;","MYANMAR LETTER SHAN NYA (U+107A)"," e181ba"
" &#4219;","MYANMAR LETTER SHAN DA (U+107B)"," e181bb"
" &#4220;","MYANMAR LETTER SHAN NA (U+107C)"," e181bc"
" &#4221;","MYANMAR LETTER SHAN PHA (U+107D)"," e181bd"
" &#4222;","MYANMAR LETTER SHAN FA (U+107E)"," e181be"
" &#4223;","MYANMAR LETTER SHAN BA (U+107F)"," e181bf"
" &#4224;","MYANMAR LETTER SHAN THA (U+1080)"," e18280"
" &#4225;","MYANMAR LETTER SHAN HA (U+1081)"," e18281"
" &#4226;","MYANMAR CONSONANT SIGN SHAN MEDIAL WA (U+1082)"," e18282"
" &#4227;","MYANMAR VOWEL SIGN SHAN AA (U+1083)"," e18283"
" &#4228;","MYANMAR VOWEL SIGN SHAN E (U+1084)"," e18284"
" &#4229;","MYANMAR VOWEL SIGN SHAN E ABOVE (U+1085)"," e18285"
" &#4230;","MYANMAR VOWEL SIGN SHAN FINAL Y (U+1086)"," e18286"
" &#4231;","MYANMAR SIGN SHAN TONE-2 (U+1087)"," e18287"
" &#4232;","MYANMAR SIGN SHAN TONE-3 (U+1088)"," e18288"
" &#4233;","MYANMAR SIGN SHAN TONE-5 (U+1089)"," e18289"
" &#4234;","MYANMAR SIGN SHAN TONE-6 (U+108A)"," e1828a"
" &#4235;","MYANMAR SIGN SHAN COUNCIL TONE-2 (U+108B)"," e1828b"
" &#4236;","MYANMAR SIGN SHAN COUNCIL TONE-3 (U+108C)"," e1828c"
" &#4237;","MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE (U+108D)"," e1828d"
" &#4238;","MYANMAR LETTER RUMAI PALAUNG FA (U+108E)"," e1828e"
" &#4239;","MYANMAR SIGN RUMAI PALAUNG TONE-5 (U+108F)"," e1828f"
" &#4240;","MYANMAR SHAN DIGIT ZERO (U+1090)"," e18290"
" &#4241;","MYANMAR SHAN DIGIT ONE (U+1091)"," e18291"
" &#4242;","MYANMAR SHAN DIGIT TWO (U+1092)"," e18292"
" &#4243;","MYANMAR SHAN DIGIT THREE (U+1093)"," e18293"
" &#4244;","MYANMAR SHAN DIGIT FOUR (U+1094)"," e18294"
" &#4245;","MYANMAR SHAN DIGIT FIVE (U+1095)"," e18295"
" &#4246;","MYANMAR SHAN DIGIT SIX (U+1096)"," e18296"
" &#4247;","MYANMAR SHAN DIGIT SEVEN (U+1097)"," e18297"
" &#4248;","MYANMAR SHAN DIGIT EIGHT (U+1098)"," e18298"
" &#4249;","MYANMAR SHAN DIGIT NINE (U+1099)"," e18299"
" &#4250;","MYANMAR SIGN KHAMTI TONE-1 (U+109A)"," e1829a"
" &#4251;","MYANMAR SIGN KHAMTI TONE-3 (U+109B)"," e1829b"
" &#4252;","MYANMAR VOWEL SIGN AITON A (U+109C)"," e1829c"
" &#4253;","MYANMAR VOWEL SIGN AITON AI (U+109D)"," e1829d"
" &#4254;","MYANMAR SYMBOL SHAN ONE (U+109E)"," e1829e"
" &#4255;","MYANMAR SYMBOL SHAN EXCLAMATION (U+109F)"," e1829f"
" &#4256;","GEORGIAN CAPITAL LETTER AN (U+10A0)"," e182a0"
" &#4257;","GEORGIAN CAPITAL LETTER BAN (U+10A1)"," e182a1"
" &#4258;","GEORGIAN CAPITAL LETTER GAN (U+10A2)"," e182a2"
" &#4259;","GEORGIAN CAPITAL LETTER DON (U+10A3)"," e182a3"
" &#4260;","GEORGIAN CAPITAL LETTER EN (U+10A4)"," e182a4"
" &#4261;","GEORGIAN CAPITAL LETTER VIN (U+10A5)"," e182a5"
" &#4262;","GEORGIAN CAPITAL LETTER ZEN (U+10A6)"," e182a6"
" &#4263;","GEORGIAN CAPITAL LETTER TAN (U+10A7)"," e182a7"
" &#4264;","GEORGIAN CAPITAL LETTER IN (U+10A8)"," e182a8"
" &#4265;","GEORGIAN CAPITAL LETTER KAN (U+10A9)"," e182a9"
" &#4266;","GEORGIAN CAPITAL LETTER LAS (U+10AA)"," e182aa"
" &#4267;","GEORGIAN CAPITAL LETTER MAN (U+10AB)"," e182ab"
" &#4268;","GEORGIAN CAPITAL LETTER NAR (U+10AC)"," e182ac"
" &#4269;","GEORGIAN CAPITAL LETTER ON (U+10AD)"," e182ad"
" &#4270;","GEORGIAN CAPITAL LETTER PAR (U+10AE)"," e182ae"
" &#4271;","GEORGIAN CAPITAL LETTER ZHAR (U+10AF)"," e182af"
" &#4272;","GEORGIAN CAPITAL LETTER RAE (U+10B0)"," e182b0"
" &#4273;","GEORGIAN CAPITAL LETTER SAN (U+10B1)"," e182b1"
" &#4274;","GEORGIAN CAPITAL LETTER TAR (U+10B2)"," e182b2"
" &#4275;","GEORGIAN CAPITAL LETTER UN (U+10B3)"," e182b3"
" &#4276;","GEORGIAN CAPITAL LETTER PHAR (U+10B4)"," e182b4"
" &#4277;","GEORGIAN CAPITAL LETTER KHAR (U+10B5)"," e182b5"
" &#4278;","GEORGIAN CAPITAL LETTER GHAN (U+10B6)"," e182b6"
" &#4279;","GEORGIAN CAPITAL LETTER QAR (U+10B7)"," e182b7"
" &#4280;","GEORGIAN CAPITAL LETTER SHIN (U+10B8)"," e182b8"
" &#4281;","GEORGIAN CAPITAL LETTER CHIN (U+10B9)"," e182b9"
" &#4282;","GEORGIAN CAPITAL LETTER CAN (U+10BA)"," e182ba"
" &#4283;","GEORGIAN CAPITAL LETTER JIL (U+10BB)"," e182bb"
" &#4284;","GEORGIAN CAPITAL LETTER CIL (U+10BC)"," e182bc"
" &#4285;","GEORGIAN CAPITAL LETTER CHAR (U+10BD)"," e182bd"
" &#4286;","GEORGIAN CAPITAL LETTER XAN (U+10BE)"," e182be"
" &#4287;","GEORGIAN CAPITAL LETTER JHAN (U+10BF)"," e182bf"
" &#4288;","GEORGIAN CAPITAL LETTER HAE (U+10C0)"," e18380"
" &#4289;","GEORGIAN CAPITAL LETTER HE (U+10C1)"," e18381"
" &#4290;","GEORGIAN CAPITAL LETTER HIE (U+10C2)"," e18382"
" &#4291;","GEORGIAN CAPITAL LETTER WE (U+10C3)"," e18383"
" &#4292;","GEORGIAN CAPITAL LETTER HAR (U+10C4)"," e18384"
" &#4293;","GEORGIAN CAPITAL LETTER HOE (U+10C5)"," e18385"
" &#4295;","GEORGIAN CAPITAL LETTER YN (U+10C7)"," e18387"
" &#4301;","GEORGIAN CAPITAL LETTER AEN (U+10CD)"," e1838d"
" &#4304;","GEORGIAN LETTER AN (U+10D0)"," e18390"
" &#4305;","GEORGIAN LETTER BAN (U+10D1)"," e18391"
" &#4306;","GEORGIAN LETTER GAN (U+10D2)"," e18392"
" &#4307;","GEORGIAN LETTER DON (U+10D3)"," e18393"
" &#4308;","GEORGIAN LETTER EN (U+10D4)"," e18394"
" &#4309;","GEORGIAN LETTER VIN (U+10D5)"," e18395"
" &#4310;","GEORGIAN LETTER ZEN (U+10D6)"," e18396"
" &#4311;","GEORGIAN LETTER TAN (U+10D7)"," e18397"
" &#4312;","GEORGIAN LETTER IN (U+10D8)"," e18398"
" &#4313;","GEORGIAN LETTER KAN (U+10D9)"," e18399"
" &#4314;","GEORGIAN LETTER LAS (U+10DA)"," e1839a"
" &#4315;","GEORGIAN LETTER MAN (U+10DB)"," e1839b"
" &#4316;","GEORGIAN LETTER NAR (U+10DC)"," e1839c"
" &#4317;","GEORGIAN LETTER ON (U+10DD)"," e1839d"
" &#4318;","GEORGIAN LETTER PAR (U+10DE)"," e1839e"
" &#4319;","GEORGIAN LETTER ZHAR (U+10DF)"," e1839f"
" &#4320;","GEORGIAN LETTER RAE (U+10E0)"," e183a0"
" &#4321;","GEORGIAN LETTER SAN (U+10E1)"," e183a1"
" &#4322;","GEORGIAN LETTER TAR (U+10E2)"," e183a2"
" &#4323;","GEORGIAN LETTER UN (U+10E3)"," e183a3"
" &#4324;","GEORGIAN LETTER PHAR (U+10E4)"," e183a4"
" &#4325;","GEORGIAN LETTER KHAR (U+10E5)"," e183a5"
" &#4326;","GEORGIAN LETTER GHAN (U+10E6)"," e183a6"
" &#4327;","GEORGIAN LETTER QAR (U+10E7)"," e183a7"
" &#4328;","GEORGIAN LETTER SHIN (U+10E8)"," e183a8"
" &#4329;","GEORGIAN LETTER CHIN (U+10E9)"," e183a9"
" &#4330;","GEORGIAN LETTER CAN (U+10EA)"," e183aa"
" &#4331;","GEORGIAN LETTER JIL (U+10EB)"," e183ab"
" &#4332;","GEORGIAN LETTER CIL (U+10EC)"," e183ac"
" &#4333;","GEORGIAN LETTER CHAR (U+10ED)"," e183ad"
" &#4334;","GEORGIAN LETTER XAN (U+10EE)"," e183ae"
" &#4335;","GEORGIAN LETTER JHAN (U+10EF)"," e183af"
" &#4336;","GEORGIAN LETTER HAE (U+10F0)"," e183b0"
" &#4337;","GEORGIAN LETTER HE (U+10F1)"," e183b1"
" &#4338;","GEORGIAN LETTER HIE (U+10F2)"," e183b2"
" &#4339;","GEORGIAN LETTER WE (U+10F3)"," e183b3"
" &#4340;","GEORGIAN LETTER HAR (U+10F4)"," e183b4"
" &#4341;","GEORGIAN LETTER HOE (U+10F5)"," e183b5"
" &#4342;","GEORGIAN LETTER FI (U+10F6)"," e183b6"
" &#4343;","GEORGIAN LETTER YN (U+10F7)"," e183b7"
" &#4344;","GEORGIAN LETTER ELIFI (U+10F8)"," e183b8"
" &#4345;","GEORGIAN LETTER TURNED GAN (U+10F9)"," e183b9"
" &#4346;","GEORGIAN LETTER AIN (U+10FA)"," e183ba"
" &#4347;","GEORGIAN PARAGRAPH SEPARATOR (U+10FB)"," e183bb"
" &#4348;","MODIFIER LETTER GEORGIAN NAR (U+10FC)"," e183bc"
" &#4349;","GEORGIAN LETTER AEN (U+10FD)"," e183bd"
" &#4350;","GEORGIAN LETTER HARD SIGN (U+10FE)"," e183be"
" &#4351;","GEORGIAN LETTER LABIAL SIGN (U+10FF)"," e183bf"
" &#4352;","HANGUL CHOSEONG KIYEOK (U+1100)"," e18480"
" &#4353;","HANGUL CHOSEONG SSANGKIYEOK (U+1101)"," e18481"
" &#4354;","HANGUL CHOSEONG NIEUN (U+1102)"," e18482"
" &#4355;","HANGUL CHOSEONG TIKEUT (U+1103)"," e18483"
" &#4356;","HANGUL CHOSEONG SSANGTIKEUT (U+1104)"," e18484"
" &#4357;","HANGUL CHOSEONG RIEUL (U+1105)"," e18485"
" &#4358;","HANGUL CHOSEONG MIEUM (U+1106)"," e18486"
" &#4359;","HANGUL CHOSEONG PIEUP (U+1107)"," e18487"
" &#4360;","HANGUL CHOSEONG SSANGPIEUP (U+1108)"," e18488"
" &#4361;","HANGUL CHOSEONG SIOS (U+1109)"," e18489"
" &#4362;","HANGUL CHOSEONG SSANGSIOS (U+110A)"," e1848a"
" &#4363;","HANGUL CHOSEONG IEUNG (U+110B)"," e1848b"
" &#4364;","HANGUL CHOSEONG CIEUC (U+110C)"," e1848c"
" &#4365;","HANGUL CHOSEONG SSANGCIEUC (U+110D)"," e1848d"
" &#4366;","HANGUL CHOSEONG CHIEUCH (U+110E)"," e1848e"
" &#4367;","HANGUL CHOSEONG KHIEUKH (U+110F)"," e1848f"
" &#4368;","HANGUL CHOSEONG THIEUTH (U+1110)"," e18490"
" &#4369;","HANGUL CHOSEONG PHIEUPH (U+1111)"," e18491"
" &#4370;","HANGUL CHOSEONG HIEUH (U+1112)"," e18492"
" &#4371;","HANGUL CHOSEONG NIEUN-KIYEOK (U+1113)"," e18493"
" &#4372;","HANGUL CHOSEONG SSANGNIEUN (U+1114)"," e18494"
" &#4373;","HANGUL CHOSEONG NIEUN-TIKEUT (U+1115)"," e18495"
" &#4374;","HANGUL CHOSEONG NIEUN-PIEUP (U+1116)"," e18496"
" &#4375;","HANGUL CHOSEONG TIKEUT-KIYEOK (U+1117)"," e18497"
" &#4376;","HANGUL CHOSEONG RIEUL-NIEUN (U+1118)"," e18498"
" &#4377;","HANGUL CHOSEONG SSANGRIEUL (U+1119)"," e18499"
" &#4378;","HANGUL CHOSEONG RIEUL-HIEUH (U+111A)"," e1849a"
" &#4379;","HANGUL CHOSEONG KAPYEOUNRIEUL (U+111B)"," e1849b"
" &#4380;","HANGUL CHOSEONG MIEUM-PIEUP (U+111C)"," e1849c"
" &#4381;","HANGUL CHOSEONG KAPYEOUNMIEUM (U+111D)"," e1849d"
" &#4382;","HANGUL CHOSEONG PIEUP-KIYEOK (U+111E)"," e1849e"
" &#4383;","HANGUL CHOSEONG PIEUP-NIEUN (U+111F)"," e1849f"
" &#4384;","HANGUL CHOSEONG PIEUP-TIKEUT (U+1120)"," e184a0"
" &#4385;","HANGUL CHOSEONG PIEUP-SIOS (U+1121)"," e184a1"
" &#4386;","HANGUL CHOSEONG PIEUP-SIOS-KIYEOK (U+1122)"," e184a2"
" &#4387;","HANGUL CHOSEONG PIEUP-SIOS-TIKEUT (U+1123)"," e184a3"
" &#4388;","HANGUL CHOSEONG PIEUP-SIOS-PIEUP (U+1124)"," e184a4"
" &#4389;","HANGUL CHOSEONG PIEUP-SSANGSIOS (U+1125)"," e184a5"
" &#4390;","HANGUL CHOSEONG PIEUP-SIOS-CIEUC (U+1126)"," e184a6"
" &#4391;","HANGUL CHOSEONG PIEUP-CIEUC (U+1127)"," e184a7"
" &#4392;","HANGUL CHOSEONG PIEUP-CHIEUCH (U+1128)"," e184a8"
" &#4393;","HANGUL CHOSEONG PIEUP-THIEUTH (U+1129)"," e184a9"
" &#4394;","HANGUL CHOSEONG PIEUP-PHIEUPH (U+112A)"," e184aa"
" &#4395;","HANGUL CHOSEONG KAPYEOUNPIEUP (U+112B)"," e184ab"
" &#4396;","HANGUL CHOSEONG KAPYEOUNSSANGPIEUP (U+112C)"," e184ac"
" &#4397;","HANGUL CHOSEONG SIOS-KIYEOK (U+112D)"," e184ad"
" &#4398;","HANGUL CHOSEONG SIOS-NIEUN (U+112E)"," e184ae"
" &#4399;","HANGUL CHOSEONG SIOS-TIKEUT (U+112F)"," e184af"
" &#4400;","HANGUL CHOSEONG SIOS-RIEUL (U+1130)"," e184b0"
" &#4401;","HANGUL CHOSEONG SIOS-MIEUM (U+1131)"," e184b1"
" &#4402;","HANGUL CHOSEONG SIOS-PIEUP (U+1132)"," e184b2"
" &#4403;","HANGUL CHOSEONG SIOS-PIEUP-KIYEOK (U+1133)"," e184b3"
" &#4404;","HANGUL CHOSEONG SIOS-SSANGSIOS (U+1134)"," e184b4"
" &#4405;","HANGUL CHOSEONG SIOS-IEUNG (U+1135)"," e184b5"
" &#4406;","HANGUL CHOSEONG SIOS-CIEUC (U+1136)"," e184b6"
" &#4407;","HANGUL CHOSEONG SIOS-CHIEUCH (U+1137)"," e184b7"
" &#4408;","HANGUL CHOSEONG SIOS-KHIEUKH (U+1138)"," e184b8"
" &#4409;","HANGUL CHOSEONG SIOS-THIEUTH (U+1139)"," e184b9"
" &#4410;","HANGUL CHOSEONG SIOS-PHIEUPH (U+113A)"," e184ba"
" &#4411;","HANGUL CHOSEONG SIOS-HIEUH (U+113B)"," e184bb"
" &#4412;","HANGUL CHOSEONG CHITUEUMSIOS (U+113C)"," e184bc"
" &#4413;","HANGUL CHOSEONG CHITUEUMSSANGSIOS (U+113D)"," e184bd"
" &#4414;","HANGUL CHOSEONG CEONGCHIEUMSIOS (U+113E)"," e184be"
" &#4415;","HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS (U+113F)"," e184bf"
" &#4416;","HANGUL CHOSEONG PANSIOS (U+1140)"," e18580"
" &#4417;","HANGUL CHOSEONG IEUNG-KIYEOK (U+1141)"," e18581"
" &#4418;","HANGUL CHOSEONG IEUNG-TIKEUT (U+1142)"," e18582"
